Wavenumber,30,20,15,10,5,2,1,0,,,30,20,15,10,5,2,1,0,"10 pts SG smooth of ""30""","10 pts SG smooth of ""20""","10 pts SG smooth of ""15""","10 pts SG smooth of ""10""","10 pts SG smooth of ""5""","10 pts SG smooth of ""2""","10 pts SG smooth of ""1""","10 pts SG smooth of ""0"""
2242.79,0.0363128,0.0370688,0.0383261,0.0392964,0.0388369,0.0355833,0.0333318,0.0241338,,,0.0362837,0.03702038,0.0382962628571428,0.0392787514285714,0.0388107742857143,0.0355463057142857,0.0333043628571428,0.02412306,0.0361648498834499,0.0367494911421911,0.0382805925407925,0.0392539848484848,0.0386670358974359,0.0354452317016317,0.0332920708624709,0.0240003324009324
2243.75,0.0361529,0.0372046,0.0382208,0.0395015,0.0388894,0.0353674,0.0334681,0.0239533,,,0.0361349342857143,0.0371673485714286,0.0382505171428571,0.03946802,0.0388614742857143,0.0353729114285714,0.0334442628571429,0.0239369028571429,0.0360596671328671,0.0368075102564102,0.0382948293706294,0.0392774871794872,0.038659831002331,0.0354043442890443,0.0332075743589744,0.0239029610722611
2244.72,0.0358595,0.0369359,0.0382423,0.0394423,0.0387178,0.0352325,0.0333605,0.0236905,,,0.0358846828571429,0.0369536,0.0382632485714286,0.0394468,0.03872488,0.0352642485714286,0.0333651885714286,0.0237007771428571,0.0359556079254079,0.0368522634032634,0.0382436825174825,0.0393147543123543,0.0387208675990676,0.0354364130536131,0.0331527095571095,0.0238273927738928
2245.68,0.0357396,0.0366711,0.0383285,0.0393176,0.0386101,0.035396,0.0331629,0.0235999,,,0.0357570514285714,0.0366981,0.0382967857142857,0.03933194,0.0386353857142857,0.0353982542857143,0.0331612628571429,0.0236269942857143,0.0358765214452214,0.0368229421911422,0.0381207407925408,0.0393542491841492,0.0388304815850816,0.0355283976689977,0.0331085717948718,0.0238108186480186
2246.65,0.0358064,0.0366121,0.0381729,0.0392737,0.0387717,0.0357049,0.0329745,0.0238161,,,0.0357890342857143,0.0366076,0.0381497057142857,0.0392733828571429,0.0387809057142857,0.0356932857142857,0.0329728285714286,0.02381742,0.0358379102564103,0.0367540543123543,0.037996527972028,0.0393764825174825,0.0389556351981352,0.0356760265734266,0.0330867547785548,0.0238955699300699
2247.61,0.0358695,0.0366458,0.037839,0.0392896,0.039113,0.0359799,0.0329136,0.0241576,,,0.0358626685714286,0.03662846,0.0378484971428571,0.03928612,0.0391047971428571,0.0359722371428571,0.0329248628571428,0.0241331971428571,0.0358728883449883,0.0367447857808858,0.0379675736596737,0.0393897582750583,0.0391112766899767,0.0358978547785548,0.0331648083916084,0.0241126454545455
2248.58,0.0359411,0.0367116,0.0376609,0.039348,0.039437,0.0361772,0.033118,0.0244275,,,0.0359556114285714,0.0367284171428571,0.0376881057142857,0.0393557914285714,0.0394266285714286,0.0361767885714286,0.03313114,0.02442672,0.0359853540792541,0.0368385664335664,0.0380187074592074,0.0394033706293706,0.0393185575757576,0.0361547244755245,0.0333809536130536,0.0244316741258741
2249.54,0.0361131,0.0369512,0.0378619,0.0394722,0.0396424,0.0363424,0.0335941,0.0247136,,,0.0361175142857143,0.036977,0.0378923028571428,0.0394834971428571,0.0396392285714286,0.0363561571428571,0.0336087485714286,0.0247405057142857,0.0361181433566434,0.0369855839160839,0.0380813573426574,0.0394069627039627,0.0395437312354312,0.0363516948717949,0.0336745855477855,0.0247634407925408
2250.5,0.0363081,0.0373101,0.0383479,0.0395946,0.0397489,0.0365259,0.034195,0.0251128,,,0.03629964,0.0372851485714286,0.0383304314285714,0.0395753485714286,0.0397539228571428,0.0365257885714286,0.03418846,0.02511088,0.0362203608391608,0.0371123806526807,0.0381718839160839,0.0394055324009324,0.0397224822843823,0.0364545314685315,0.0339768862470863,0.0250256731934732
2251.47,0.0363972,0.0374328,0.0386701,0.0395158,0.0398132,0.0366176,0.0346029,0.0254081,,,0.0363854057142857,0.03740028,0.0386184914285714,0.0394872742857143,0.03981296,0.03659336,0.03456186,0.0253763942857143,0.0363012951048951,0.0371899981351981,0.0383324878787879,0.0394143212121212,0.0398156375291375,0.0365067846153846,0.0342509599067599,0.0252034636363636
2252.43,0.0363502,0.0372549,0.0385835,0.039261,0.0398334,0.0365087,0.0345763,0.0254049,,,0.0363482885714286,0.0372688457142857,0.0385878971428571,0.03928302,0.0398305885714286,0.0365063857142857,0.0345638542857143,0.0253981542857143,0.036376068997669,0.0372366123543124,0.0385230254079254,0.0394222463869464,0.0398326317016317,0.0365394510489511,0.0344480331002331,0.0253360249417249
2253.4,0.0362745,0.0370914,0.0384452,0.0391882,0.0398104,0.0363732,0.0343525,0.0252785,,,0.0362923371428571,0.0371105314285714,0.0384891542857143,0.0392266514285714,0.0398138714285714,0.0364009114285714,0.0343910542857143,0.0252999971428571,0.0364113375291375,0.0372693664335664,0.0386589897435897,0.0394123923076923,0.0398151937062937,0.0365375554778555,0.0345274403263403,0.0254391867132867
2254.36,0.0362998,0.0370946,0.038561,0.0393985,0.0397779,0.0364121,0.034314,0.0252829,,,0.0363106857142857,0.0370946685714286,0.0385637,0.0393840314285714,0.0397750028571428,0.0364219142857143,0.0343284342857143,0.0252996228571429,0.0363591771561772,0.0372749435897436,0.0386890265734266,0.0393887801864802,0.0397898594405594,0.0364732282051282,0.0344898305361305,0.0254683193473193
2255.33,0.0363477,0.0371936,0.0387239,0.0395444,0.0397291,0.0365031,0.0343935,0.0254213,,,0.0363340542857143,0.0371974228571428,0.0386996171428571,0.0395115628571428,0.0397284485714286,0.0364821171428571,0.0343706657142857,0.0254200742857143,0.0362099233100233,0.037244644988345,0.0386238927738928,0.0393633547785548,0.039746913986014,0.0363481433566434,0.0343652011655012,0.0253869442890443
